,Title,
0,Adaptive behavioral model learning for software product lines,\cite{Tavassoli_2022}
1,"Adaptive Learning for Learn-Based Regression Testing,Regression testing is an important activity to ",\cite{Huistra_2018}
2,Testing self-healing cyber-physical systems under uncertainty with reinforcement learning: an empiri,\cite{Ma_2021}
3,Learning by sampling: learning behavioral family models from software product lines,\cite{Damasceno_2021}
4,Reinforcement learning for automatic test case prioritization and selection in continuous integratio,\cite{Spieker_2017}
5,The next evolution of MDE: a seamless integration of machine learning into domain modeling,
6,Improving model repair through experience sharing,
7,Artifact and reference models for generative machine learning frameworks and build systems,
8,Test Case Prioritization using Transfer Learning in Continuous Integration Environments,
9,A learning-based framework for engineering feature-oriented self-adaptive software systems,
10,Personalized and automatic model repairing using reinforcement learning,
11,On the engineering of ai-powered systems,
12,When DevOps meets meta-learning: A portfolio to rule them all,
13,A Modular and Composable Approach to Develop Trusted Artificial Intelligence,
14,Modeling deep reinforcement learning based architectures for cyber-physical systems,
15,RLOps: Development Life-Cycle of Reinforcement Learning Aided Open RAN,
16,Interactive Learning Engineering Concepts in AutomationML,
17,Modeling and Training of Neural Processing Systems,
18,SliceOps: Explainable MLOps for Streamlined Automation-Native 6G Networks,
19,Adaptive Reward Computation in Reinforcement Learning-Based Continuous Integration Testing,
20,Machine Learning Regression Techniques for Test Case Prioritization in Continuous Integration Enviro,
21,Cost-effective learning-based strategies for test case prioritization in continuous integration of h,
22,Improving la redoute's CI/CD pipeline and devops processes by applying machine learning techniques,
23,EMMM: A Unified Meta-Model for Tracking Machine Learning Experiments,
24,Automated Classification of Metamodel Repositories: A Machine Learning Approach,
