,Title,
0,"FLAMA: A collaborative effort to build a new framework for the automated analysis of feature models,",\cite{Galindo_2023}
1,Improving invariant mining via static analysis,\cite{Schulze_2017}
2,Supporting micro-services deployment in a safer way: A static analysis and automated rewriting appro,\cite{Benni_2018}
3,Learning by sampling: learning behavioral family models from software product lines,\cite{Damasceno_2021}
4,Constraint-based behavioral consistency of evolving software systems,\cite{Hahnle_2018}
5,Pinset: A DSL for extracting datasets from models for data mining-based quality analysis,
6,Scenarios in the loop: Integrated requirements analysis and automotive system validation,
7,Verifying big data topologies by-design: a semi-automated approach,
8,VeriDevOps: Automated Protection and Prevention to Meet Security Requirements in DevOps,
9,Convolutional neural networks for enhanced classification mechanisms of metamodels,
10,Arttest - A New Test Environment for Model-Based Software Development,
11,Identification of microservices from monolithic applications through topic modelling,
12,Continuous architecting of stream-based systems,
13,Towards Modelling Acceptance Tests as a Support for Software Measurement,
14,Automated Classification of Metamodel Repositories: A Machine Learning Approach,
15,Automated Regression Tests: A No-Code Approach for BPMN-based Process-Driven Applications,
16,A testing frameworks for mobile embedded systems using MDA,
17,A model-driven engineering framework to support the functional safety process,
18,Towards transparent combination of model management execution strategies for low-code development pl,
19,Detecting architectural issues during the continuous integration pipeline,
20,Modeling and Training of Neural Processing Systems,
21,A learning-based framework for engineering feature-oriented self-adaptive software systems,
22,Consistency management in industrial continuous model-based development settings: a reality check,
23,Testing robot controllers using constraint programming and continuous integration,
24,DevOps and Safety? SafeOps! Towards Ensuring Safety in Feature-Driven Development with Frequent Rele,
