,Title,
0,Constraint-based behavioral consistency of evolving software systems,\cite{Hahnle_2018}
1,Scaling agile mechatronics: An industrial case study,\cite{Lantz_2014}
2,Software Engineering for Machine Learning: A Case Study,\cite{Amershi_2019}
3,A learning-based framework for engineering feature-oriented self-adaptive software systems,\cite{Esfahani_2013}
4,Graphical and textual model-driven microservice development,\cite{Rademacher_Graphical_2019}
5,"Modeling, validation, and continuous integration of software behaviours for embedded systems",
6,A process-oriented build tool for safety-critical model-based software development,
7,Model-based fleet deployment of edge computing applications,
8,An Extension of the QUAMOCO Quality Model to Specify and Evaluate Feature-Dependent Non-Functional R,
9,Automotive Architecture Framework: The experience of Volvo Cars,
10,Cost-effective learning-based strategies for test case prioritization in continuous integration of h,
11,The adaptation of test-driven software processes to industrial automation engineering,
12,Model-based fleet deployment in the IoT–edge–cloud continuum,
13,A learning algorithm for optimizing continuous integration development and testing practice,
14,Improving la redoute's CI/CD pipeline and devops processes by applying machine learning techniques,
15,Identification of microservices from monolithic applications through topic modelling,
16,A tag-based recommender system for regression test case prioritization,
17,Stepwise adoption of continuous delivery in model-driven engineering,
18,ResyDuo: Combining Data Models and CF-Based Recommender Systems to Develop Arduino Projects,
19,Adaptive application development and integration process for modern automotive software,
20,Detecting architectural issues during the continuous integration pipeline,
21,Arttest - A New Test Environment for Model-Based Software Development,
22,Modeling and Training of Neural Processing Systems,
23,Towards Integrating Data-Driven Requirements Engineering into the Software Development Process: A Vi,
24,Model-Based DevOps: Foundations and Challenges,
