,Title,
0,Towards continuous delivery for domain experts: Using MDE to integrate non-programmers into a softwa,\cite{Nehls_2019}
1,Deriving Microservice Code from Underspecified Domain Models Using DevOps-Enabled Modeling Languages,\cite{Rademacher_2020}
2,Process implications of executable domain models for microservices development,\cite{Wang_2020}
3,Towards a Domain-Specific Language for Provisioning Multiple Cloud Testing Environments for Mobile A,\cite{Maldonado_2022}
4,The next evolution of MDE: a seamless integration of machine learning into domain modeling,\cite{Hartmann_2017}
5,Identification of microservices from monolithic applications through topic modelling,
6,MDE for Machine Learning-Enabled Software Systems: A Case Study and Comparison of MontiAnna and ML-Q,
7,The Interoperability Challenge: Building a Model-Driven Digital Thread Platform for CPS,
8,ACCORDANT: A domain specific-model and DevOps approach for big data analytics architectures,
9,Modeling and Training of Neural Processing Systems,
10,Modeling deep reinforcement learning based architectures for cyber-physical systems,
11,Evaluation of Graphical Modeling of CI/CD Workflows with Rig,
12,Pinset: A DSL for extracting datasets from models for data mining-based quality analysis,
13,Arttest - A New Test Environment for Model-Based Software Development,
14,Measuring performance quality scenarios in big data analytics applications: A DevOps and domain-spec,
15,Scaling agile mechatronics: An industrial case study,
16,Auto-generation of domain-specific systems: Cloud-hosted devops for business,
17,On the engineering of ai-powered systems,
18,Neural Language Models and Few Shot Learning for Systematic Requirements Processing in MDSE,
19,A Model-Driven Architectural Design Method for Big Data Analytics Applications,
20,Continuous Integration in Multi-view Modeling: A Model Transformation Pipeline Architecture for Prod,
21,Automotive Architecture Framework: The experience of Volvo Cars,
22,An Infrastructure Modelling Tool for Cloud Provisioning,
23,Towards an assessment grid for intelligent modeling assistance,
24,Continuous deployment of trustworthy smart IoT systems,
