(('applications', 'services', 'computing'), 1)
(('services', 'computing', 'scc'), 1)
(('computing', 'scc', 'modeldriven'), 1)
(('scc', 'modeldriven', 'engineering'), 1)
(('software', 'development', 'joint'), 1)
(('development', 'joint', 'software'), 1)
(('joint', 'software', 'engineering'), 1)
(('software', 'engineering', 'foundations'), 1)
(('engineering', 'foundations', 'software'), 1)
(('foundations', 'software', 'engineering'), 1)
(('software', 'engineering', 'systems'), 1)
(('engineering', 'systems', 'software'), 1)
(('systems', 'software', 'software'), 1)
(('practice', 'experience', 'sigplan'), 1)
(('experience', 'sigplan', 'generative'), 1)
(('sigplan', 'generative', 'programming'), 1)
(('generative', 'programming', 'concepts'), 1)
(('programming', 'concepts', 'experiences'), 1)
(('concepts', 'experiences', 'gpce'), 1)
(('experiences', 'gpce', 'colocated'), 1)
(('gpce', 'colocated', 'sigplan'), 1)
(('languages', 'applications', 'software'), 1)
(('applications', 'software', 'humanity'), 1)
(('software', 'humanity', 'splash'), 1)
(('humanity', 'splash', 'modelbased'), 1)
(('splash', 'modelbased', 'development'), 1)
(('modelbased', 'development', 'embedded'), 1)
(('development', 'embedded', 'systems'), 1)
(('embedded', 'systems', 'sae'), 1)
(('systems', 'sae', 'world'), 1)
(('sae', 'world', 'congress'), 1)
(('world', 'congress', 'experience'), 1)
(('congress', 'experience', 'cloud'), 1)
(('experience', 'cloud', 'computing'), 1)
(('computing', 'cloud', 'model'), 1)
(('cloud', 'model', 'driven'), 1)
(('systems', 'models', 'automated'), 1)
(('models', 'automated', 'configuration'), 1)
(('automated', 'configuration', 'tailoring'), 1)
(('configuration', 'tailoring', 'applications'), 1)
(('tailoring', 'applications', 'enterprise'), 1)
(('applications', 'enterprise', 'distributed'), 1)
(('object', 'computing', 'software'), 1)
(('computing', 'software', 'testing'), 1)
(('analysis', 'issta', 'information'), 1)
(('issta', 'information', 'systems'), 1)
(('information', 'systems', 'organisation'), 1)
(('systems', 'organisation', 'systems'), 1)
(('organisation', 'systems', 'architecture'), 1)
(('systems', 'architecture', 'grid'), 1)
(('architecture', 'grid', 'computing'), 1)
(('grid', 'computing', 'selfaware'), 1)
(('computing', 'selfaware', 'internet'), 1)
(('selfaware', 'internet', 'things'), 1)
(('internet', 'things', 'selfiot12'), 1)
(('things', 'selfiot12', 'software'), 1)
(('selfiot12', 'software', 'systems'), 1)
(('systems', 'modeling', 'utility'), 1)
(('modeling', 'utility', 'cloud'), 1)
(('utility', 'cloud', 'computing'), 1)
(('cloud', 'computing', 'ucc'), 1)
(('computing', 'ucc', 'internet'), 1)
(('ucc', 'internet', 'technology'), 1)
(('internet', 'technology', 'software'), 1)
(('technology', 'software', 'technologies'), 1)
(('software', 'technologies', 'applications'), 1)
(('technologies', 'applications', 'foundations'), 1)
(('applications', 'foundations', 'staf'), 1)
(('foundations', 'staf', 'software'), 1)
(('staf', 'software', 'systems'), 1)
(('systems', 'modeling', 'asiapacific'), 1)
(('modeling', 'asiapacific', 'services'), 1)
(('asiapacific', 'services', 'computing'), 1)
(('services', 'computing', 'apscc'), 1)
(('computing', 'apscc', 'dagstuhl'), 1)
(('apscc', 'dagstuhl', 'seminar'), 1)
(('dagstuhl', 'seminar', '16172'), 1)
(('seminar', '16172', 'machine'), 1)
(('16172', 'machine', 'learning'), 1)
(('machine', 'learning', 'dynamic'), 1)
(('learning', 'dynamic', 'software'), 1)
(('dynamic', 'software', 'analysis'), 1)
(('software', 'analysis', 'potentials'), 1)
(('analysis', 'potentials', 'limits'), 1)
